Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Departure delay (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"B6","08/28/2024","2028","N506JB","EWR","07:00","06:50","-10","0","0","0","0","0"
"B6","08/28/2024","2052","N768JB","BOS","16:45","16:45","0","0","0","0","0","0"
"B6","08/28/2024","2133","N766JB","SJU","22:25","22:15","-10","0","0","0","0","0"
"B6","08/28/2024","2252","N625JB","BOS","09:39","09:52","13","13","0","2","0","0"
"B6","08/28/2024","2324","N834JB","DCA","09:50","09:47","-3","0","0","0","0","0"
"B6","08/28/2024","2384","N2029J","JFK","10:15","10:13","-2","0","0","0","0","0"
"B6","08/28/2024","2424","N712JB","DCA","15:40","16:00","20","0","20","10","0","0"
"B6","08/29/2024","0024","N624JB","DCA","18:30","05:57","687","496","0","166","0","0"
"B6","08/29/2024","0094","N591JB","HPN","10:30","10:30","0","0","0","0","0","0"
"B6","08/29/2024","0119","N821JB","RIC","12:05","12:50","45","0","45","10","0","0"
"B6","08/29/2024","0128","N505JB","EWR","13:00","13:35","35","0","16","0","0","0"
"B6","08/29/2024","0131","N621JB","LAX","18:00","18:13","13","0","0","0","0","0"
"B6","08/29/2024","0133","N655JB","SJU","13:00","13:03","3","0","0","0","0","0"
"B6","08/29/2024","0184","N2084J","JFK","13:45","14:05","20","0","20","9","0","0"
"B6","08/29/2024","0384","N907JB","JFK","19:00","18:54","-6","0","0","33","0","0"
"B6","08/29/2024","0430","N632JB","BQN","16:40","16:39","-1","0","0","0","0","0"
"B6","08/29/2024","0438","N537JT","BDL","14:55","15:26","31","31","0","1","0","0"
"B6","08/29/2024","0446","N526JL","BDL","09:55","09:46","-9","0","0","0","0","0"
"B6","08/29/2024","0488","N709JB","ORH","09:25","09:27","2","0","0","0","0","0"
"B6","08/29/2024","0500","N766JB","RDU","14:30","16:06","96","8","0","0","0","79"
"B6","08/29/2024","0552","N519JB","BOS","14:10","15:35","85","21","0","0","0","56"
"B6","08/29/2024","0598","N508JL","LGA","06:45","06:38","-7","0","0","0","0","0"
"B6","08/29/2024","0656","N520JB","SYR","18:15","18:04","-11","0","0","0","0","0"
"B6","08/29/2024","0698","N648JB","LGA","10:05","10:28","23","0","0","0","0","0"
"B6","08/29/2024","0767","N821JB","PSE","18:00","19:39","99","28","0","0","0","69"
"B6","08/29/2024","0770","N649JB","ALB","13:05","14:51","106","39","0","0","0","52"
"B6","08/29/2024","0784","N633JB","JFK","14:45","16:32","107","13","0","4","0","94"
"B6","08/29/2024","0798","N661JB","LGA","17:40","18:33","53","42","0","0","0","0"
"B6","08/29/2024","0884","N3196J","JFK","06:00","05:53","-7","0","0","0","0","0"
"B6","08/29/2024","0998","N3157J","LGA","20:30","20:25","-5","0","0","0","0","0"
"B6","08/29/2024","1033","N768JB","SJU","07:00","07:00","0","0","0","0","0","0"
"B6","08/29/2024","1076","N784JB","PVD","11:30","11:27","-3","0","0","28","0","0"
"B6","08/29/2024","1084","N703JB","JFK","16:00","17:22","82","19","0","7","0","63"
"B6","08/29/2024","1098","N3157J","LGA","13:00","13:28","28","0","0","0","0","0"
"B6","08/29/2024","1133","N624JB","SJU","10:45","10:42","-3","0","0","0","0","0"
"B6","08/29/2024","1152","N579JB","BOS","19:30","21:49","139","19","0","0","0","110"
"B6","08/29/2024","1184","N995JL","JFK","07:10","07:02","-8","0","0","0","0","0"
"B6","08/29/2024","1233","N625JB","SJU","05:01","04:57","-4","0","0","0","0","0"
"B6","08/29/2024","1284","N591JB","JFK","18:00","17:55","-5","0","0","0","0","0"
"B6","08/29/2024","1294","N766JB","HPN","20:10","20:54","44","0","0","39","0","32"
"B6","08/29/2024","1433","N606JB","SJU","17:10","18:16","66","55","0","0","0","0"
"B6","08/29/2024","1494","N784JB","HPN","18:59","19:15","16","0","0","0","0","0"
"B6","08/29/2024","1584","N627JB","JFK","09:20","09:27","7","0","0","0","0","0"
"B6","08/29/2024","1586","N708JB","BUF","19:35","20:57","82","18","0","0","0","64"
"B6","08/29/2024","1652","N834JB","BOS","06:00","05:54","-6","0","0","0","0","0"
"B6","08/29/2024","1694","N709JB","HPN","16:59","17:00","1","0","0","0","0","0"
"B6","08/29/2024","1728","N506JB","EWR","19:25","19:32","7","0","0","0","0","0"
"B6","08/29/2024","1952","N639JB","BOS","20:45","20:44","-1","0","0","0","0","0"
"B6","08/29/2024","2024","N506JB","DCA","06:00","05:57","-3","0","0","0","0","0"
"B6","08/29/2024","2028","N519JB","EWR","07:00","06:58","-2","0","0","0","0","0"
"B6","08/29/2024","2052","N656JB","BOS","16:45","17:43","58","14","0","0","0","40"
"B6","08/29/2024","2128","N655JB","EWR","21:35","22:33","58","56","0","0","0","0"
"B6","08/29/2024","2133","N763JB","SJU","22:25","22:39","14","0","0","0","0","0"
"B6","08/29/2024","2252","N621JB","BOS","09:39","09:35","-4","0","0","0","0","0"
"B6","08/29/2024","2324","N658JB","DCA","09:50","09:44","-6","0","0","0","0","0"
"B6","08/29/2024","2384","N552JB","JFK","10:15","10:30","15","0","0","0","0","0"
