carrier_code,date_(mm_dd_yyyy),flight_number,tail_number,destination_airport,scheduled_departure_time,actual_departure_time,dep_delay_minutes,delay_carrier_minutes,delay_weather_minutes,delay_nas_minutes,delay_security_minutes,delay_late_aircraft_minutes,flight_date
B6,08/27/2024,438,N708JB,BDL,2025-09-09 14:55:00,2025-09-09 14:46:00,-9,0,0,0,0,0,2024-08-27 00:00:00
B6,08/27/2024,446,N641JB,BDL,2025-09-09 09:30:00,2025-09-09 09:25:00,-5,0,0,0,0,0,2024-08-27 00:00:00
B6,08/27/2024,488,N583JB,ORH,2025-09-09 09:25:00,2025-09-09 09:14:00,-11,0,0,0,0,0,2024-08-27 00:00:00
B6,08/27/2024,500,N603JB,RDU,2025-09-09 14:30:00,2025-09-09 15:01:00,31,31,0,0,0,0,2024-08-27 00:00:00
B6,08/27/2024,552,N506JB,BOS,2025-09-09 14:10:00,2025-09-09 14:20:00,10,10,0,9,0,0,2024-08-27 00:00:00
B6,08/27/2024,598,N645JB,LGA,2025-09-09 06:20:00,2025-09-09 06:19:00,-1,0,0,0,0,0,2024-08-27 00:00:00
B6,08/27/2024,656,N519JB,SYR,2025-09-09 18:15:00,2025-09-09 18:09:00,-6,0,0,0,0,0,2024-08-27 00:00:00
B6,08/27/2024,698,N580JB,LGA,2025-09-09 10:05:00,2025-09-09 10:01:00,-4,0,0,0,0,0,2024-08-27 00:00:00
B6,08/27/2024,767,N655JB,PSE,2025-09-09 18:00:00,2025-09-09 20:17:00,137,120,0,0,0,16,2024-08-27 00:00:00
B6,08/27/2024,770,N561JB,ALB,2025-09-09 14:00:00,2025-09-09 14:03:00,3,0,0,0,0,0,2024-08-27 00:00:00
B6,08/27/2024,798,N509JB,LGA,2025-09-09 17:40:00,2025-09-09 17:46:00,6,0,0,0,0,0,2024-08-27 00:00:00
B6,08/27/2024,884,N637JB,JFK,2025-09-09 06:00:00,2025-09-09 06:41:00,41,37,0,0,0,0,2024-08-27 00:00:00
B6,08/27/2024,1033,N708JB,SJU,2025-09-09 07:00:00,2025-09-09 06:46:00,-14,0,0,0,0,0,2024-08-27 00:00:00
B6,08/27/2024,1076,N547JB,PVD,2025-09-09 11:30:00,2025-09-09 12:06:00,36,25,0,0,0,0,2024-08-27 00:00:00
B6,08/27/2024,1084,N641JB,JFK,2025-09-09 16:00:00,2025-09-09 16:31:00,31,0,0,0,0,0,2024-08-27 00:00:00
B6,08/27/2024,1098,N3149J,LGA,2025-09-09 13:00:00,2025-09-09 12:58:00,-2,0,0,0,0,0,2024-08-27 00:00:00
B6,08/27/2024,1133,N624JB,SJU,2025-09-09 10:45:00,2025-09-09 10:34:00,-11,0,0,0,0,0,2024-08-27 00:00:00
B6,08/27/2024,1152,N603JB,BOS,2025-09-09 19:30:00,2025-09-09 20:10:00,40,40,0,0,0,0,2024-08-27 00:00:00
B6,08/27/2024,1184,N971JT,JFK,2025-09-09 07:10:00,2025-09-09 07:04:00,-6,0,0,0,0,0,2024-08-27 00:00:00
B6,08/27/2024,1233,N636JB,SJU,2025-09-09 05:01:00,2025-09-09 04:56:00,-5,0,0,0,0,0,2024-08-27 00:00:00
B6,08/27/2024,1284,N527JL,JFK,2025-09-09 18:00:00,2025-09-09 17:56:00,-4,0,0,0,0,0,2024-08-27 00:00:00
B6,08/27/2024,1294,N665JB,HPN,2025-09-09 20:10:00,2025-09-09 21:47:00,97,88,0,0,0,2,2024-08-27 00:00:00
B6,08/27/2024,1494,N624JB,HPN,2025-09-09 18:59:00,2025-09-09 19:02:00,3,0,0,0,0,0,2024-08-27 00:00:00
